7073 | 8378.85681  5.83E-24             |                     |                                  |                                          |                                          |                                 2.6E-4
7074 | 8378.92227  1.32E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
7075 | 8379.16596  1.09E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
7076 | 8379.22880  7.11E-25             |                     |                                  |                                          |                                          |                                 2.1E-3
7077 | 8379.30804  9.41E-25             |                     |                                  |                                          |                                          |                                 1.8E-3
7078 | 8379.34364  2.70E-24             |                     |                                  |                                          |                                          |                                 6.2E-4
7079 | 8379.45185  7.33E-25             |                     |                                  |                                          |                                          |                                 2.1E-3
7080 | 8379.58704  2.87E-24             |                     |                                  |                                          |                                          |                                 5.3E-4
7081 | 8379.64537  2.49E-24             |                     |                                  |                                          |                                          |                                 8.8E-4
7082 | 8379.67132  3.14E-24             |                     |                                  |                                          |                                          |                                 7.0E-4
7083 | 8379.93110  2.11E-24             |                     |                                  |                                          |                                          |                                 7.2E-4
7084 | 8380.04459  8.54E-24             |                     |                                  |                                          |                                          |                                 1.8E-4
7085 | 8380.10634  1.20E-23   463.70713 | 8380.10690  102   2 | 8380.13468  8.46E-24   463.70550 | 662   8   6  101111   1  8843.8401   865 | 356   7   5  000000   1   463.7055   464 | 8.6  -0.02671    1.413  2.8E-4  1.3E-4  3.1E-4
7086 | 8380.35503  3.19E-24             |                     |                                  |                                          |                                          |                                 4.8E-4
7087 | 8380.57016  1.99E-23             |                     |                                  |                                          |                                          |                                 7.8E-5
7088 | 8380.66361  8.42E-25             |                     |                                  |                                          |                                          |                                 1.8E-3
7089 | 8380.70932  4.31E-24             |                     |                                  |                                          |                                          |                                 3.6E-4
7090 | 8380.95683  3.00E-24             |                     |                                  |                                          |                                          |                                 5.1E-4
7091 | 8381.12933  1.42E-23   195.61132 | 8381.12413   10   2 | 8381.13962  7.06E-24   195.61170 | 662   3   0  002121   1  8576.7514   424 | 356   4   1  000000   1   195.6117   196 | 3.6  -0.01067    2.017  2.9E-6  1.6E-4  1.6E-4
7092 | 8381.15473  1.09E-23             |                     |                                  |                                          |                                          |                                 2.2E-4
7093 | 8381.19957  8.36E-24             |                     |                                  |                                          |                                          |                                 1.9E-4
7094 | 8381.26714  1.77E-24             |                     |                                  |                                          |                                          |                                 8.6E-4
7095 | 8381.32688  1.03E-24             |                     |                                  |                                          |                                          |                                 1.5E-3
7096 | 8381.44249  6.03E-24             |                     |                                  |                                          |                                          |                                 8.2E-4
7097 | 8381.45746  4.06E-24   265.22666 | 8381.45683    9   2 | 8381.64468  2.68E-24   265.22630 | 563   5   4  002101   1  8646.8710   304 | 254   5   3  000000   1   265.2263   265 | 5.5  -0.18686    1.513  6.9E-6  1.2E-3  1.2E-3
7098 | 8381.55003  1.05E-23             |                     |                                  |                                          |                                          |                                 1.5E-4
7099 | 8381.65039  3.01E-24             |                     |                                  |                                          |                                          |                                 5.1E-4
7100 | 8381.74905  7.15E-25             |                     |                                  |                                          |                                          |                                 2.5E-3
7101 | 8381.78155  2.90E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
7102 | 8381.85243  2.91E-24             |                     |                                  |                                          |                                          |                                 5.4E-4
7103 | 8381.90230  6.19E-24   194.90636 | 8381.90241   12   2 | 8381.87017  7.47E-24   194.90700 | 332   3   0  002121   0  8576.7772   416 | 616   4   1  000000   0   194.9070   195 | 3.3  +0.03149    0.829  2.8E-6  2.5E-4  2.5E-4
7104 | 8381.97212  1.31E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
7105 | 8382.02347  1.27E-23   199.29394 | 8382.02334   12   3 | 8381.59543  2.68E-23   199.29450 | 212   5   0  021212   0  8580.8899   317 | 551   4   0  000000   1   199.2945   199 | 5.2  +0.42748    0.472  4.8E-6  1.1E-4  1.1E-4
7106 | 8382.14873  1.44E-23   592.58705 | 8382.14874   34   1 | 8382.08859  1.88E-23   592.58330 | 233   8   8  002121   0  8974.6719   463 | 515   9   9  000000   0   592.5833   593 | 8.2  +0.06389    0.767  2.3E-4  9.1E-5  2.5E-4
7107 | 8382.20117  4.85E-24   165.33110 | 8382.20134   30   2 | 8382.26914  2.45E-24   165.33070 | 233   4   4  002101   0  8547.5999   241 | 515   4   3  000000   0   165.3307   165 | 4.2  -0.06757    1.979  5.2E-6  2.6E-4  2.6E-4
7108 | 8382.29110  2.58E-24   166.08790 | 8382.29236   27   2 | 8382.35953  2.22E-24   166.08740 | 563   4   4  002101   1  8548.4469   268 | 254   4   3  000000   1   166.0874   166 | 4.5  -0.06793    1.164  5.2E-6  5.0E-4  5.0E-4
7109 | 8382.35916  1.49E-23   463.01315 | 8382.35932   37   2 | 8382.19447  1.68E-23   463.01180 | 332   8   6  101111   0  8845.2063   876 | 616   7   5  000000   0   463.0118   463 | 8.3  +0.16604    0.887  2.8E-4  8.8E-5  2.9E-4
7110 | 8382.79475  7.20E-25             |                     |                                  |                                          |                                          |                                 1.8E-3
7111 | 8382.85597  4.94E-24             |                     |                                  |                                          |                                          |                                 2.6E-4
7112 | 8382.91890  1.13E-23   423.22302 | 8382.91883   12   3 | 8382.69842  1.65E-23   423.22060 | 266   6   5  002121   1  8805.9190   372 | 551   7   6  000000   1   423.2206   423 | 6.2  +0.22290    0.683  1.1E-5  1.2E-4  1.2E-4
7113 | 8382.97299  3.66E-24             |                     |                                  |                                          |                                          |                                 3.5E-4
7114 | 8383.09740  6.69E-25             |                     |                                  |                                          |                                          |                                 1.9E-3
7115 | 8383.13918  1.50E-23   422.45833 | 8383.13914    9   2 | 8383.06495  2.09E-23   422.45620 | 536   6   5  002121   0  8805.5211   397 | 212   7   6  000000   0   422.4562   422 | 6.5  +0.07636    0.715  8.8E-6  8.9E-5  8.9E-5
7116 | 8383.19187  8.68E-24             |                     |                                  |                                          |                                          |                                 1.5E-4
7117 | 8383.28055  2.31E-24             |                     |                                  |                                          |                                          |                                 5.5E-4
7118 | 8383.32798  6.40E-25             |                     |                                  |                                          |                                          |                                 2.0E-3
7119 | 8383.41285  1.01E-24             |                     |                                  |                                          |                                          |                                 2.8E-3
7120 | 8383.43117  2.05E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
7121 | 8383.50007  9.44E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
7122 | 8383.59543  3.78E-24             |                     |                                  |                                          |                                          |                                 3.4E-4
7123 | 8383.80855  2.49E-24             |                     |                                  |                                          |                                          |                                 5.1E-4
7124 | 8383.99408  4.83E-23   383.31849 | 8383.99405    4   2 | 8383.82813  4.88E-23   383.31850 | 233   7   4  101111   0  8767.1466   414 | 515   6   3  000000   0   383.3185   383 | 7.2  +0.16594    0.991  9.8E-6  2.8E-5  3.0E-5
7125 | 8384.20059  7.40E-25             |                     |                                  |                                          |                                          |                                 1.7E-3
7126 | 8384.30961  2.30E-24             |                     |                                  |                                          |                                          |                                 1.7E-3
7127 | 8384.32488  1.53E-24             |                     |                                  |                                          |                                          |                                 2.6E-3
7128 | 8384.36732  1.40E-24   423.22302 | 8384.36739   39   2 | 8383.97970  1.12E-24   423.22060 | 266   8   5  200101   1  8807.2003   413 | 551   7   6  000000   1   423.2206   423 | 8.2  +0.39004    1.248  1.1E-5  9.4E-4  9.4E-4
7129 | 8384.53172  1.97E-24             |                     |                                  |                                          |                                          |                                 1.5E-3
7130 | 8384.54965  5.76E-24             |                     |                                  |                                          |                                          |                                 5.1E-4
7131 | 8384.65494  4.03E-24             |                     |                                  |                                          |                                          |                                 3.2E-4
7132 | 8384.77525  3.44E-24             |                     |                                  |                                          |                                          |                                 3.7E-4
7133 | 8384.81961  3.40E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
7134 | 8385.00469  3.72E-23   383.97753 | 8385.00460    4   2 | 8385.01989  3.86E-23   383.97720 | 563   7   4  101111   1  8768.9970   391 | 254   6   3  000000   1   383.9772   384 | 7.5  -0.01487    0.964  9.8E-6  3.6E-5  3.8E-5
7135 | 8385.12445  3.29E-24             |                     |                                  |                                          |                                          |                                 4.0E-4
7136 | 8385.16463  9.16E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
7137 | 8385.31977  1.24E-24             |                     |                                  |                                          |                                          |                                 1.3E-3
7138 | 8385.34928  2.56E-24             |                     |                                  |                                          |                                          |                                 6.1E-4
7139 | 8385.41278  2.78E-24             |                     |                                  |                                          |                                          |                                 4.6E-4
7140 | 8385.52205  1.80E-24             |                     |                                  |                                          |                                          |                                 7.1E-4
7141 | 8385.59639  9.56E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
7142 | 8385.68983  2.13E-24             |                     |                                  |                                          |                                          |                                 6.0E-4
7143 | 8385.81914  2.86E-24   184.55306 | 8385.81975   29   2 | 8385.98928  1.56E-24   184.55310 | 364   4   3  002101   1  8570.5424   521 | 653   4   2  000000   1   184.5531   185 | 4.3  -0.17018    1.836  3.7E-6  4.5E-4  4.5E-4
7144 | 8385.95365  1.50E-24             |                     |                                  |                                          |                                          |                                 1.5E-3
7145 | 8385.97504  4.17E-24             |                     |                                  |                                          |                                          |                                 5.5E-4
7146 | 8386.09030  3.20E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
7147 | 8386.15361  9.72E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
7148 | 8386.19275  2.02E-23   119.23786 | 8386.19267    7   2 | 8386.31780  2.03E-23   119.23840 | 551   2   0  002121   1  8505.5562   160 | 212   3   0  000000   0   119.2384   119 | 2.5  -0.12559    0.996  3.5E-6  6.2E-5  6.2E-5
7149 | 8386.24744  7.02E-24             |                     |                                  |                                          |                                          |                                 1.7E-4
7150 | 8386.31325  9.46E-24   116.27829 | 8386.31329   13   2 | 8386.28483  1.01E-23   116.27860 | 616   2   1  002121   0  8502.5634   295 | 356   3   1  000000   1   116.2786   116 | 2.6  +0.02811    0.937  2.3E-6  1.3E-4  1.3E-4
7151 | 8386.37330  1.97E-24             |                     |                                  |                                          |                                          |                                 8.6E-4
7152 | 8386.39793  8.44E-24             |                     |                                  |                                          |                                          |                                 2.0E-4
7153 | 8386.50651  2.57E-24             |                     |                                  |                                          |                                          |                                 4.9E-4
7154 | 8386.54194  7.52E-24             |                     |                                  |                                          |                                          |                                 1.8E-4
7155 | 8386.57610  2.25E-24             |                     |                                  |                                          |                                          |                                 5.7E-4
7156 | 8386.63681  7.68E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
7157 | 8386.79386  1.72E-24             |                     |                                  |                                          |                                          |                                 1.6E-3
7158 | 8386.81152  1.08E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
7159 | 8386.91476  1.19E-24             |                     |                                  |                                          |                                          |                                 9.8E-4
7160 | 8386.99675  3.43E-24             |                     |                                  |                                          |                                          |                                 3.4E-4
7161 | 8387.09947  1.55E-23   264.51666 | 8387.10062   12   2 | 8387.04471  2.40E-23   264.51660 | 233   4   2  002121   0  8651.5613   258 | 515   5   3  000000   0   264.5166   265 | 4.2  +0.05482    0.645  6.9E-6  2.8E-4  2.8E-4
7162 | 8387.11287  4.13E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
7163 | 8387.23528  2.41E-24   165.33110 | 8387.24002   14   2 | 8387.22093  1.33E-24   165.33070 | 233   5   2  000501   0  8552.5517   311 | 515   4   3  000000   0   165.3307   165 | 5.2  +0.01475    1.811  5.2E-6  4.9E-4  4.9E-4
7164 | 8387.34637  1.53E-23   265.22666 | 8387.34638   11   2 | 8387.34947  2.01E-23   265.22630 | 563   4   2  002121   1  8652.5758   284 | 254   5   3  000000   1   265.2263   265 | 4.5  -0.00274    0.761  6.9E-6  1.0E-4  1.0E-4
7165 | 8387.37409  2.68E-23   199.29394 | 8387.37406    6   3 | 8387.57292  2.62E-23   199.29450 | 266   5   1  101111   1  8586.8674   320 | 551   4   0  000000   1   199.2945   199 | 5.2  -0.19939    1.024  4.8E-6  5.8E-5  5.8E-5
7166 | 8387.51656  1.02E-23   115.53663 | 8387.51652   11   2 | 8387.62218  9.99E-24   115.53700 | 356   2   1  002121   1  8503.1592   302 | 616   3   1  000000   0   115.5370   116 | 2.3  -0.10599    1.022  2.3E-6  1.2E-4  1.2E-4
7167 | 8387.93124  3.29E-24             |                     |                                  |                                          |                                          |                                 3.6E-4
7168 | 8388.05537  1.05E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
7169 | 8388.11880  1.59E-24             |                     |                                  |                                          |                                          |                                 1.3E-3
7170 | 8388.13988  4.54E-24             |                     |                                  |                                          |                                          |                                 4.6E-4
7171 | 8388.23579  8.93E-25             |                     |                                  |                                          |                                          |                                 2.1E-3
7172 | 8388.25843  2.93E-24             |                     |                                  |                                          |                                          |                                 6.4E-4
7173 | 8388.34215  8.20E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
7174 | 8388.40243  1.98E-24             |                     |                                  |                                          |                                          |                                 5.9E-4
7175 | 8388.45449  4.38E-24             |                     |                                  |                                          |                                          |                                 2.7E-4
7176 | 8388.64789  2.57E-24             |                     |                                  |                                          |                                          |                                 4.7E-4
7177 | 8388.68655  2.74E-24             |                     |                                  |                                          |                                          |                                 7.5E-4
7178 | 8388.70863  1.05E-23   166.08790 | 8388.70940    4   2 | 8388.94271  1.14E-23   166.08740 | 563   5   2  001313   1  8555.0301   286 | 254   4   3  000000   1   166.0874   166 | 5.5  -0.23358    0.918  5.2E-6  1.9E-4  1.9E-4
7179 | 8388.76093  4.25E-24             |                     |                                  |                                          |                                          |                                 8.8E-4
7180 | 8388.77602  3.35E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
7181 | 8388.81002  6.22E-24   105.18375 | 8388.80936   67   2 | 8388.75443  5.74E-24   105.18360 | 313   2   2  002121   0  8493.9381   300 | 653   3   2  000000   1   105.1836   105 | 2.3  +0.05574    1.084  6.4E-6  2.2E-4  2.2E-4
7182 | 8388.88296  2.31E-24             |                     |                                  |                                          |                                          |                                 5.1E-4
7183 | 8389.12067  3.07E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
7184 | 8389.30478  9.99E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
7185 | 8389.41966  5.22E-24   324.36900 | 8389.41975   40   3 | 8389.30493  8.43E-24   324.36750 | 333   5   4  002121   0  8713.6724   649 | 616   6   5  000000   0   324.3675   324 | 5.3  +0.11623    0.620  2.8E-4  2.3E-4  3.6E-4
7186 | 8389.46377  2.47E-24             |                     |                                  |                                          |                                          |                                 4.8E-4
7187 | 8389.57469  1.61E-24             |                     |                                  |                                          |                                          |                                 7.5E-4
7188 | 8389.66259  1.86E-24             |                     |                                  |                                          |                                          |                                 6.7E-4
7189 | 8389.70297  3.31E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
7190 | 8389.71762  2.25E-23   119.23786 | 8389.71370   72   2 | 8389.69410  2.08E-23   119.23840 | 536   2   1  002121   0  8508.9325   161 | 212   3   0  000000   0   119.2384   119 | 2.5  +0.02298    1.084  3.5E-6  2.6E-4  2.6E-4
7191 | 8389.74479  6.01E-24   165.33110 | 8389.74444    5   2 | 8389.81451  8.32E-24   165.33070 | 233   5   2  000501   0  8555.1452   312 | 515   4   3  000000   0   165.3307   165 | 5.2  -0.06932    0.722  5.2E-6  3.1E-4  3.1E-4
7192 | 8389.80180  5.92E-24             |                     |                                  |                                          |                                          |                                 2.7E-4
7193 | 8389.82815  1.29E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
7194 | 8389.87969  3.31E-24             |                     |                                  |                                          |                                          |                                 3.6E-4
7195 | 8389.99786  6.14E-25             |                     |                                  |                                          |                                          |                                 3.2E-3
7196 | 8390.02019  8.15E-24   104.42209 | 8390.01938   47   2 | 8390.10113  5.70E-24   104.42210 | 653   2   2  002121   1  8494.5232   293 | 313   3   2  000000   0   104.4221   104 | 2.6  -0.08095    1.430  5.1E-6  2.5E-4  2.5E-4
7197 | 8390.20944  1.20E-23             |                     |                                  |                                          |                                          |                                 8.8E-5
7198 | 8390.38335  6.88E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
7199 | 8390.46727  3.22E-24             |                     |                                  |                                          |                                          |                                 3.2E-4
7200 | 8390.54657  1.62E-24   297.64182 | 8390.55134   43   2 | 8390.47461  1.68E-24   297.64270 | 536   5   5  002121   0  8688.1173   310 | 212   5   0  000000   0   297.6427   298 | 5.5  +0.07108    0.964  6.3E-6  1.8E-3  1.8E-3
7201 | 8390.56347  3.20E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
7202 | 8390.59556  3.81E-24   297.64182 | 8390.59692   39   2 | 8390.51915  2.11E-24   297.64270 | 536   5   5  002121   0  8688.1619   311 | 212   5   0  000000   0   297.6427   298 | 5.5  +0.07553    1.808  6.3E-6  3.4E-4  3.4E-4
7203 | 8390.68877  2.22E-24             |                     |                                  |                                          |                                          |                                 7.5E-4
7204 | 8390.75723  3.98E-24             |                     |                                  |                                          |                                          |                                 2.6E-4
7205 | 8390.82056  1.11E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
7206 | 8390.85474  2.50E-24             |                     |                                  |                                          |                                          |                                 4.6E-4
7207 | 8390.91221  6.31E-25             |                     |                                  |                                          |                                          |                                 1.6E-3
7208 | 8390.99502  2.10E-24             |                     |                                  |                                          |                                          |                                 5.5E-4
7209 | 8391.05415  2.65E-24             |                     |                                  |                                          |                                          |                                 3.9E-4
7210 | 8391.16199  2.15E-24             |                     |                                  |                                          |                                          |                                 4.7E-4
7211 | 8391.26442  5.40E-24             |                     |                                  |                                          |                                          |                                 1.9E-4
7212 | 8391.36389  2.11E-23   580.77985 | 8391.36384   17   2 | 8391.49801  1.84E-23   580.77780 | 536   9   7  101111   0  8972.2758   468 | 212   8   6  000000   0   580.7778   581 | 9.5  -0.13207    1.146  8.7E-5  5.0E-5  1.0E-4
7213 | 8391.47722  1.12E-24             |                     |                                  |                                          |                                          |                                 1.8E-3
7214 | 8391.49667  1.14E-24             |                     |                                  |                                          |                                          |                                 1.8E-3
7215 | 8391.72362  6.06E-25             |                     |                                  |                                          |                                          |                                 1.7E-3
7216 | 8391.79073  1.04E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
7217 | 8391.83221  2.33E-23   581.47096 | 8391.83231   67   2 | 8391.59862  2.03E-23   581.46850 | 266   9   7  101111   1  8973.0671   491 | 551   8   6  000000   1   581.4685   581 | 9.2  +0.23605    1.147  8.7E-5  7.1E-5  1.1E-4
7218 | 8391.85654  1.22E-23             |                     |                                  |                                          |                                          |                                 1.3E-4
7219 | 8392.04934  2.14E-24   166.08790 | 8392.05261   14   3 | 8391.86748  1.51E-24   166.08740 | 536   5   1  001313   0  8557.9549   287 | 254   4   3  000000   1   166.0874   166 | 5.5  +0.18236    1.420  5.2E-6  4.8E-4  4.8E-4
7220 | 8392.19073  1.03E-24             |                     |                                  |                                          |                                          |                                 9.8E-4
7221 | 8392.28166  3.27E-24             |                     |                                  |                                          |                                          |                                 3.3E-4
7222 | 8392.31938  1.58E-23   416.88781 | 8392.31900  105   2 | 8392.75946  2.25E-23   416.88810 | 266   7   1  001313   1  8809.6476   427 | 551   6   0  000000   1   416.8881   417 | 7.2  -0.44037    0.704  7.0E-6  6.9E-5  7.0E-5
7223 | 8392.41969  5.92E-25             |                     |                                  |                                          |                                          |                                 2.2E-3
7224 | 8392.44772  4.02E-24             |                     |                                  |                                          |                                          |                                 3.2E-4
7225 | 8392.52759  7.96E-25   139.35805 | 8392.52988   17   4 | 8392.94232  3.01E-25   139.35670 | 663   5   2  020402   1  8532.2991   592 | 313   4   4  000000   0   139.3567   139 | 5.6  -0.41338    2.643  1.0E-5  1.3E-3  1.3E-3
7226 | 8392.62936  8.28E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
7227 | 8392.73705  1.19E-24             |                     |                                  |                                          |                                          |                                 8.5E-4
7228 | 8392.86199  8.85E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
7229 | 8392.92089  8.31E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
7230 | 8392.97967  3.87E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
7231 | 8392.99265  4.78E-24             |                     |                                  |                                          |                                          |                                 8.4E-4
7232 | 8393.11733  1.34E-23             |                     |                                  |                                          |                                          |                                 7.7E-5
7233 | 8393.40716  5.63E-25    85.86158 | 8393.40880    5   2 | 8393.49637  1.66E-24    85.86090 | 233   4   2  101111   0  8479.3572   235 | 515   3   3  000000   0    85.8609    86 | 4.2  -0.08853    0.339  8.7E-6  1.8E-3  1.8E-3
7234 | 8393.64899  1.26E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
7235 | 8393.67099  1.22E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
7236 | 8393.82392  9.53E-24   184.55306 | 8393.82324    8   2 | 8393.83003  1.15E-23   184.55310 | 366   3   1  002121   1  8578.3832   417 | 653   4   2  000000   1   184.5531   185 | 3.3  -0.00615    0.829  3.7E-6  1.1E-4  1.1E-4
7237 | 8393.93551  5.34E-25             |                     |                                  |                                          |                                          |                                 2.2E-3
7238 | 8393.96884  2.59E-24             |                     |                                  |                                          |                                          |                                 7.9E-4
7239 | 8393.99091  2.90E-24             |                     |                                  |                                          |                                          |                                 6.7E-4
7240 | 8394.09109  3.45E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
7241 | 8394.10541  1.38E-23   325.12728 | 8394.10606   89   2 | 8394.05023  5.82E-24   325.12550 | 643   5   2  002121   1  8719.1758   658 | 356   6   5  000000   1   325.1255   325 | 5.6  +0.05696    2.368  2.8E-4  2.8E-4  4.0E-4
7242 | 8394.60775  1.05E-23   183.82911 | 8394.60703    8   2 | 8394.56449  1.19E-23   183.82940 | 636   3   1  002121   0  8578.3939   425 | 313   4   2  000000   0   183.8294   184 | 3.6  +0.04297    0.882  3.7E-6  1.1E-4  1.1E-4
7243 | 8394.73279  1.14E-23   401.64790 | 8394.73277   16   2 | 8394.55111  1.16E-23   401.64830 | 635   7   3  101111   0  8796.1994   825 | 313   6   2  000000   0   401.6483   402 | 7.6  +0.18128    0.983  4.2E-6  1.0E-4  1.0E-4
7244 | 8394.80735  5.69E-24             |                     |                                  |                                          |                                          |                                 2.0E-4
7245 | 8394.85036  2.30E-24             |                     |                                  |                                          |                                          |                                 4.9E-4
7246 | 8394.94619  7.95E-24   496.03518 | 8394.94612   15   2 | 8394.70968  9.14E-24   496.03450 | 636   8   5  101111   0  8890.7441   895 | 313   7   4  000000   0   496.0345   496 | 8.6  +0.23719    0.870  8.2E-6  1.4E-4  1.4E-4
7247 | 8395.13675  3.14E-24             |                     |                                  |                                          |                                          |                                 3.6E-4
7248 | 8395.27455  7.74E-24             |                     |                                  |                                          |                                          |                                 1.5E-4
7249 | 8395.35437  1.29E-23   375.10709 | 8395.35441   32   1 | 8395.24965  1.60E-23   375.10360 | 662   6   6  002121   1  8770.3533   751 | 356   7   7  000000   1   375.1036   375 | 6.6  +0.10821    0.806  2.1E-4  8.8E-5  2.3E-4
7250 | 8395.42488  1.63E-24   293.96832 | 8395.42531   14   2 | 8395.26358  1.95E-24   293.96910 | 333   6   2  101111   0  8689.2327   721 | 616   5   1  000000   0   293.9691   294 | 6.3  +0.16052    0.836  3.3E-6  6.8E-4  6.8E-4
7251 | 8395.61400  2.39E-24             |                     |                                  |                                          |                                          |                                 5.0E-4
7252 | 8395.64915  8.03E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
7253 | 8395.86135  1.53E-24             |                     |                                  |                                          |                                          |                                 7.3E-4
7254 | 8395.91688  7.65E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
7255 | 8396.05478  2.61E-24             |                     |                                  |                                          |                                          |                                 4.3E-4
7256 | 8396.09866  1.43E-24             |                     |                                  |                                          |                                          |                                 7.9E-4
7257 | 8396.15068  8.45E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
7258 | 8396.26855  9.86E-24             |                     |                                  |                                          |                                          |                                 4.2E-4
7259 | 8396.28207  1.70E-24             |                     |                                  |                                          |                                          |                                 2.4E-3
7260 | 8396.44047  1.33E-24   496.67624 | 8396.44170   30   2 | 8396.54184  1.03E-24   496.67510 | 366   7   5  002121   1  8893.2169   873 | 653   7   4  000000   1   496.6751   497 | 7.3  -0.10023    1.293  8.2E-6  8.4E-4  8.4E-4
7261 | 8396.52144  1.37E-24             |                     |                                  |                                          |                                          |                                 8.1E-4
7262 | 8396.63683  8.91E-24             |                     |                                  |                                          |                                          |                                 1.3E-4
7263 | 8396.69802  7.99E-24             |                     |                                  |                                          |                                          |                                 1.4E-4
7264 | 8396.74523  1.61E-24             |                     |                                  |                                          |                                          |                                 7.0E-4
7265 | 8396.86966  8.91E-24   791.48855 | 8396.86967   30   1 | 8396.92109  9.58E-24   791.48480 | 563  11  10  101111   1  9188.4059   535 | 254  10   9  000000   1   791.4848   791 | 11.5  -0.04768    0.931  1.9E-4  1.3E-4  2.3E-4
7266 | 8396.98713  8.67E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
7267 | 8397.08542  1.56E-24             |                     |                                  |                                          |                                          |                                 7.2E-4
7268 | 8397.22463  1.43E-23   374.24932 | 8397.22456   30   2 | 8397.15134  1.99E-23   374.24610 | 331   6   6  002121   0  8771.3974   759 | 616   7   7  000000   0   374.2461   374 | 6.3  +0.07651    0.719  1.3E-4  8.1E-5  1.5E-4
7269 | 8397.26820  1.12E-24             |                     |                                  |                                          |                                          |                                 1.0E-3
7270 | 8397.34066  3.21E-24             |                     |                                  |                                          |                                          |                                 4.3E-4
7271 | 8397.37018  5.80E-24             |                     |                                  |                                          |                                          |                                 2.5E-4
7272 | 8397.40695  2.39E-24             |                     |                                  |                                          |                                          |                                 5.0E-4
