 125 | 7424.93930  1.35E-24             |                     |                                  |                                          |                                          |                                 1.5E-3
 126 | 7424.95396  4.96E-24             |                     |                                  |                                          |                                          |                                 4.0E-4
 127 | 7425.06519  1.20E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
 128 | 7425.08275  1.03E-24             |                     |                                  |                                          |                                          |                                 1.4E-3
 129 | 7425.17482  1.60E-24             |                     |                                  |                                          |                                          |                                 4.7E-4
 130 | 7425.24111  7.56E-25             |                     |                                  |                                          |                                          |                                 9.9E-4
 131 | 7425.45844  2.55E-24             |                     |                                  |                                          |                                          |                                 2.9E-4
 132 | 7425.83291  3.18E-24             |                     |                                  |                                          |                                          |                                 2.4E-4
 133 | 7426.02150  2.10E-24   697.91709 | 7426.02283   20   2 | 7425.75640  1.52E-24   697.91560 | 365   7   3  011210   1  8123.6720   589 | 653   8   2  000000   1   697.9156   698 | 7.3  +0.26659    1.382  7.2E-6  3.5E-4  3.5E-4
 134 | 7426.08394  5.44E-25             |                     |                                  |                                          |                                          |                                 1.5E-3
 135 | 7426.13242  1.26E-24             |                     |                                  |                                          |                                          |                                 6.5E-4
 136 | 7426.34329  8.80E-25             |                     |                                  |                                          |                                          |                                 9.2E-4
 137 | 7426.58124  5.15E-24             |                     |                                  |                                          |                                          |                                 4.0E-4
 138 | 7426.59630  1.09E-24             |                     |                                  |                                          |                                          |                                 1.9E-3
 139 | 7426.72156  9.75E-25             |                     |                                  |                                          |                                          |                                 1.6E-3
 140 | 7426.73949  1.62E-24   183.82911 | 7426.74098   12   2 | 7426.25916  1.95E-24   183.82940 | 636   3   1  110202   0  7610.0885   261 | 313   4   2  000000   0   183.8294   184 | 3.6  +0.48004    0.833  3.7E-6  9.5E-4  9.5E-4
 141 | 7427.16879  2.08E-24             |                     |                                  |                                          |                                          |                                 3.9E-4
 142 | 7427.29147  3.68E-24   712.35327 | 7427.29130   10   4 | 7427.04581  3.11E-24   712.35190 | 245   7   3  011212   1  8139.3977   309 | 551   8   0  000000   1   712.3519   712 | 7.2  +0.24703    1.183  1.1E-5  2.2E-4  2.2E-4
 143 | 7427.47376  9.80E-25   759.00250 | 7427.47142   20   2 | 7427.36388  1.25E-24   758.99950 | 266   8   7  111010   1  8186.3633   312 | 551   9   6  000000   1   758.9995   759 | 8.2  +0.11288    0.784  1.9E-4  8.2E-4  8.4E-4
 144 | 7427.74310  6.60E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
 145 | 7427.96983  6.28E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
 146 | 7428.20974  1.38E-23   554.39314 | 7428.20996    3   2 | 7428.07125  1.11E-23   554.39340 | 536   6   1  011210   0  7982.4647   265 | 212   7   0  000000   0   554.3934   554 | 6.5  +0.13823    1.247  7.5E-6  6.0E-5  6.0E-5
 147 | 7428.29996  5.41E-24             |                     |                                  |                                          |                                          |                                 1.5E-4
 148 | 7428.49705  1.19E-24             |                     |                                  |                                          |                                          |                                 6.8E-4
 149 | 7428.77132  9.53E-25             |                     |                                  |                                          |                                          |                                 8.5E-4
 150 | 7429.10626  5.85E-24             |                     |                                  |                                          |                                          |                                 1.4E-4
 151 | 7429.20997  3.24E-24             |                     |                                  |                                          |                                          |                                 2.5E-4
 152 | 7429.41657  9.36E-25   679.28796 | 7429.41610   10   2 | 7428.63855  8.68E-25   679.28700 | 254   7   3  210000   1  8107.9255   303 | 515   8   3  000000   0   679.2870   679 | 7.2  +0.77898    1.078  1.1E-5  8.6E-4  8.6E-4
 153 | 7429.62163  3.26E-24             |                     |                                  |                                          |                                          |                                 2.5E-4
 154 | 7429.67486  7.07E-24   712.35327 | 7429.67458   11   3 | 7429.62664  5.62E-24   712.35190 | 266   7   1  011210   1  8141.9785   310 | 551   8   0  000000   1   712.3519   712 | 7.2  +0.04959    1.258  1.1E-5  1.2E-4  1.2E-4
 155 | 7429.72664  1.17E-24             |                     |                                  |                                          |                                          |                                 7.0E-4
 156 | 7429.77257  3.16E-24   522.22298 | 7429.77545    3   2 | 7428.99733  1.49E-24   522.22220 | 563   6   4  011210   1  7951.2196   261 | 254   7   3  000000   1   522.2222   522 | 6.5  +0.77602    2.122  1.0E-5  2.6E-4  2.6E-4
 157 | 7429.92982  4.93E-24             |                     |                                  |                                          |                                          |                                 1.7E-4
 158 | 7430.00817  7.11E-25             |                     |                                  |                                          |                                          |                                 9.3E-4
 159 | 7430.08171  1.20E-24             |                     |                                  |                                          |                                          |                                 5.9E-4
 160 | 7430.21399  2.11E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
 161 | 7430.23189  1.47E-24   550.75867 | 7430.23049    6   4 | 7429.97541  1.37E-24   550.75890 | 333   6   2  011210   0  7980.7343   507 | 616   7   1  000000   0   550.7589   551 | 6.3  +0.25625    1.070  5.7E-6  1.1E-3  1.1E-3
 162 | 7430.53199  9.57E-25             |                     |                                  |                                          |                                          |                                 7.3E-4
 163 | 7430.79846  1.76E-24             |                     |                                  |                                          |                                          |                                 4.9E-4
 164 | 7430.82465  4.19E-24             |                     |                                  |                                          |                                          |                                 2.1E-4
 165 | 7430.97507  1.93E-24             |                     |                                  |                                          |                                          |                                 3.6E-4
 166 | 7431.31992  8.38E-25             |                     |                                  |                                          |                                          |                                 8.3E-4
 167 | 7431.48803  6.82E-24   758.38543 | 7431.48755   30   2 | 7431.07489  4.46E-24   758.38290 | 536   8   5  011210   0  8189.4578   335 | 212   9   6  000000   0   758.3829   758 | 8.5  +0.41567    1.528  1.9E-4  1.0E-4  2.1E-4
 168 | 7431.77446  1.84E-24             |                     |                                  |                                          |                                          |                                 3.8E-4
 169 | 7431.98787  1.06E-24             |                     |                                  |                                          |                                          |                                 6.6E-4
 170 | 7432.24708  1.15E-24             |                     |                                  |                                          |                                          |                                 6.0E-4
 171 | 7432.38277  1.31E-24   621.06560 | 7432.38299   52   2 | 7432.11625  6.87E-25   621.06410 | 331   7   6  011212   0  8053.1804   568 | 616   8   5  000000   0   621.0641   621 | 7.3  +0.26802    1.906  3.1E-4  5.3E-4  6.1E-4
 172 | 7432.50666  9.45E-25  1069.94629 | 7432.50974   82   2 | 7432.34733  7.86E-25  1069.94150 | 635   9   3  111010   0  8502.2889   783 | 313  10   2  000000   0  1069.9415  1070 | 9.6  +0.16412    1.438  1.7E-4  6.2E-4  6.4E-4
 173 | 7432.55779  5.85E-25             |                     |                                  |                                          |                                          |                                 1.2E-3
 174 | 7432.91835  7.09E-25             |                     |                                  |                                          |                                          |                                 1.3E-3
 175 | 7432.94317  1.80E-24             |                     |                                  |                                          |                                          |                                 5.0E-4
 176 | 7433.06019  3.83E-24   856.65840 | 7433.05976   14   2 | 7432.56820  2.71E-24   856.65530 | 563   8   2  011210   1  8289.2235   349 | 254   9   3  000000   1   856.6553   857 | 8.5  +0.49509    1.413  1.2E-4  1.8E-4  2.2E-4
 177 | 7433.15555  1.05E-24             |                     |                                  |                                          |                                          |                                 6.7E-4
 178 | 7433.23753  3.77E-24             |                     |                                  |                                          |                                          |                                 1.9E-4
 179 | 7433.28492  7.43E-24   679.28796 | 7433.28493    9   3 | 7433.13119  5.31E-24   679.28700 | 233   7   2  011210   0  8112.4182   304 | 515   8   3  000000   0   679.2870   679 | 7.2  +0.15469    1.400  1.1E-5  9.5E-5  9.6E-5
 180 | 7433.46857  8.52E-25             |                     |                                  |                                          |                                          |                                 6.3E-4
 181 | 7433.74409  1.02E-23   205.26915 | 7433.74465   86   2 | 7433.19997  8.34E-24   205.26720 | 333   4   4  110202   0  7638.4672   331 | 616   5   5  000000   0   205.2672   205 | 4.3  +0.54607    1.227  2.8E-4  7.0E-5  2.9E-4
 182 | 7433.81628  2.52E-24             |                     |                                  |                                          |                                          |                                 2.8E-4
 183 | 7433.96512  7.47E-25   653.87071 | 7433.96588    5   2 | 7434.01861  3.75E-25   653.86950 | 662   7   6  111010   1  8087.8881   581 | 313   8   4  000000   0   653.8695   654 | 7.6  -0.05228    1.992  7.4E-6  9.4E-4  9.4E-4
 184 | 7434.18694  2.92E-24   401.64790 | 7434.18735    6   3 | 7434.00357  2.32E-24   401.64830 | 635   5   3  011210   0  7835.6519   424 | 313   6   2  000000   0   401.6483   402 | 5.6  +0.18297    1.259  4.2E-6  2.5E-4  2.5E-4
